,folder-1,folder-2,folder-3,folder-4,folder-5,folder-6,folder-7,folder-8,folder-9,folder-10,total_agreed,total_not_agreed
58-subfolder,11.0,11.0,12.0,11.0,12.0,11.0,11.0,12.0,12.0,11.0,10.0,0.0
59-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,11.0,12.0,11.0,12.0,10.0,0.0
60-subfolder,12.0,11.0,12.0,11.0,12.0,12.0,12.0,12.0,10.0,12.0,9.0,1.0
61-subfolder,11.0,10.0,12.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,9.0,1.0
62-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,12.0,11.0,11.0,12.0,10.0,0.0
63-subfolder,12.0,11.0,12.0,11.0,11.0,11.0,11.0,12.0,11.0,12.0,10.0,0.0
64-subfolder,12.0,11.0,12.0,11.0,11.0,11.0,11.0,12.0,11.0,12.0,10.0,0.0
65-subfolder,11.0,11.0,12.0,11.0,12.0,11.0,11.0,11.0,11.0,12.0,10.0,0.0
66-subfolder,12.0,11.0,12.0,11.0,12.0,12.0,11.0,11.0,10.0,12.0,9.0,1.0
67-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,10.0,0.0
68-subfolder,12.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,10.0,0.0
69-subfolder,12.0,11.0,12.0,11.0,11.0,11.0,11.0,12.0,11.0,12.0,10.0,0.0
70-subfolder,12.0,12.0,12.0,11.0,12.0,11.0,11.0,12.0,12.0,12.0,10.0,0.0
71-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,11.0,12.0,11.0,12.0,10.0,0.0
72-subfolder,12.0,11.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,12.0,10.0,0.0
73-subfolder,12.0,11.0,12.0,11.0,11.0,11.0,12.0,11.0,11.0,12.0,10.0,0.0
74-subfolder,12.0,11.0,12.0,11.0,12.0,12.0,11.0,11.0,12.0,12.0,10.0,0.0
75-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,11.0,12.0,12.0,12.0,10.0,0.0
76-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,12.0,11.0,11.0,12.0,10.0,0.0
77-subfolder,12.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,10.0,0.0
78-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,11.0,11.0,11.0,12.0,10.0,0.0
79-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,11.0,12.0,12.0,12.0,10.0,0.0
80-subfolder,12.0,11.0,12.0,12.0,11.0,11.0,11.0,12.0,12.0,12.0,10.0,0.0
81-subfolder,12.0,12.0,12.0,11.0,12.0,11.0,11.0,12.0,11.0,11.0,10.0,0.0
82-subfolder,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,10.0,0.0
83-subfolder,12.0,11.0,12.0,11.0,12.0,12.0,10.0,12.0,12.0,11.0,9.0,1.0
84-subfolder,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,10.0,0.0
85-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,11.0,12.0,12.0,11.0,10.0,0.0
86-subfolder,12.0,11.0,12.0,11.0,12.0,12.0,11.0,12.0,11.0,11.0,10.0,0.0
87-subfolder,12.0,11.0,12.0,11.0,12.0,12.0,11.0,12.0,12.0,12.0,10.0,0.0
88-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,11.0,11.0,12.0,12.0,10.0,0.0
89-subfolder,11.0,11.0,12.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,10.0,0.0
90-subfolder,12.0,12.0,12.0,11.0,11.0,11.0,12.0,12.0,11.0,12.0,10.0,0.0
91-subfolder,11.0,11.0,12.0,11.0,11.0,12.0,11.0,12.0,11.0,11.0,10.0,0.0
92-subfolder,11.0,11.0,12.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,10.0,0.0
93-subfolder,12.0,11.0,12.0,11.0,12.0,12.0,12.0,11.0,12.0,11.0,10.0,0.0
94-subfolder,11.0,11.0,12.0,11.0,11.0,12.0,11.0,11.0,12.0,11.0,10.0,0.0
95-subfolder,12.0,10.0,12.0,11.0,12.0,12.0,10.0,11.0,12.0,12.0,8.0,2.0
96-subfolder,12.0,11.0,12.0,12.0,11.0,12.0,11.0,11.0,10.0,12.0,9.0,1.0
97-subfolder,12.0,11.0,12.0,11.0,12.0,12.0,11.0,12.0,11.0,12.0,10.0,0.0
98-subfolder,12.0,11.0,12.0,11.0,11.0,11.0,11.0,12.0,10.0,11.0,9.0,1.0
99-subfolder,12.0,12.0,12.0,11.0,12.0,12.0,11.0,11.0,11.0,12.0,10.0,0.0
100-subfolder,12.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,12.0,12.0,10.0,0.0
101-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,11.0,10.0,11.0,12.0,9.0,1.0
102-subfolder,12.0,12.0,12.0,11.0,11.0,12.0,10.0,12.0,12.0,12.0,9.0,1.0
103-subfolder,12.0,12.0,12.0,11.0,12.0,11.0,12.0,12.0,12.0,12.0,10.0,0.0
104-subfolder,11.0,11.0,12.0,11.0,12.0,12.0,11.0,11.0,11.0,12.0,10.0,0.0
105-subfolder,12.0,11.0,12.0,11.0,11.0,11.0,11.0,12.0,12.0,11.0,10.0,0.0
106-subfolder,12.0,12.0,12.0,11.0,12.0,12.0,11.0,12.0,11.0,12.0,10.0,0.0
107-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,11.0,12.0,12.0,12.0,10.0,0.0
108-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,10.0,12.0,11.0,11.0,9.0,1.0
109-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,10.0,0.0
110-subfolder,12.0,11.0,12.0,11.0,12.0,12.0,11.0,11.0,12.0,11.0,10.0,0.0
111-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,11.0,11.0,12.0,12.0,10.0,0.0
112-subfolder,11.0,11.0,12.0,11.0,12.0,12.0,11.0,11.0,12.0,11.0,10.0,0.0
113-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,10.0,11.0,11.0,12.0,9.0,1.0
114-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,10.0,12.0,11.0,12.0,9.0,1.0
115-subfolder,12.0,11.0,12.0,11.0,11.0,12.0,11.0,11.0,11.0,12.0,10.0,0.0
116-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,11.0,12.0,11.0,12.0,10.0,0.0
117-subfolder,12.0,10.0,12.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,9.0,1.0
118-subfolder,12.0,10.0,12.0,11.0,12.0,12.0,11.0,12.0,11.0,11.0,9.0,1.0
119-subfolder,12.0,11.0,12.0,11.0,11.0,12.0,10.0,11.0,12.0,12.0,9.0,1.0
120-subfolder,12.0,12.0,12.0,11.0,12.0,11.0,11.0,12.0,11.0,12.0,10.0,0.0
121-subfolder,11.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,10.0,0.0
122-subfolder,12.0,12.0,12.0,11.0,12.0,12.0,11.0,12.0,11.0,12.0,10.0,0.0
123-subfolder,12.0,10.0,12.0,11.0,12.0,12.0,11.0,11.0,11.0,12.0,9.0,1.0
124-subfolder,12.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,10.0,0.0
125-subfolder,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,0.0
126-subfolder,11.0,10.0,12.0,11.0,12.0,11.0,11.0,12.0,11.0,12.0,9.0,1.0
127-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,11.0,11.0,11.0,12.0,10.0,0.0
128-subfolder,11.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,10.0,0.0
129-subfolder,12.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,10.0,0.0
130-subfolder,11.0,11.0,12.0,11.0,12.0,11.0,12.0,11.0,12.0,12.0,10.0,0.0
131-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,10.0,0.0
